Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/19/2013,16:00,LemonNation,Cloud 9,Team Curse,(28:35),1,Ignite,Flash,4,0,9,42,8.8k,Shurelya's Reverie,Ruby Sightstone,Boots of Mobility,Sight Ward,Sight Ward,Empty,Shen,Jayce,Nunu,Rumble,Twisted Fate,Elise
7/19/2013,16:00,Voyboy,Team Curse,Cloud 9,(28:35),0,Exhaust,Ghost,4,6,1,210,6.8k,Infinity Edge,Statikk Shiv,Bilgewater Cutlass,Berserker's Greaves,Empty,Empty,Rumble,Twisted Fate,Elise,Shen,Jayce,Nunu
7/19/2013,16:00,Saintvicious,Team Curse,Cloud 9,(28:35),0,Flash,Smite,1,3,7,104,10.1k,Aegis of the Legion,Spirit of the Ancient Golem,Ninja Tabi,Null-Magic Mantle,Cloth Armor,Sight Ward,Rumble,Twisted Fate,Elise,Shen,Jayce,Nunu
7/19/2013,16:00,NyJacky,Team Curse,Cloud 9,(28:35),0,Ignite,Flash,3,5,6,176,9.4k,Zhonya's Hourglass,Athene's Unholy Grail,Sorcerer's Shoes,Blasting Wand,Empty,Empty,Rumble,Twisted Fate,Elise,Shen,Jayce,Nunu
7/19/2013,16:00,Cop,Team Curse,Cloud 9,(28:35),0,Barrier,Flash,5,3,4,216,8.9k,Infinity Edge,Phantom Dancer,Berserker's Greaves,Vampiric Scepter,Doran's Blade,Null-Magic Mantle,Rumble,Twisted Fate,Elise,Shen,Jayce,Nunu
7/19/2013,16:00,Edward,Team Curse,Cloud 9,(28:35),0,Ignite,Flash,0,4,7,20,5k,Ruby Sightstone,Kindlegem,Boots of Speed,Sight Ward,Empty,Empty,Rumble,Twisted Fate,Elise,Shen,Jayce,Nunu
7/19/2013,17:00,KiWiKiD,Team Dignitas,Counter Logic Gaming,(32:16),1,Flash,Ignite,5,3,9,184,11.9k,Rabadon's Deathcap,Zhonya's Hourglass,Sorcerer's Shoes - Homeguard,Haunting Guise,Amplifying Tome,Vision Ward,Vladimir,Jayce,Shen,Graves,Nunu,Zed
7/19/2013,17:00,Crumbzz,Team Dignitas,Counter Logic Gaming,(32:16),1,Smite,Flash,8,3,12,81,11.3k,Randuin's Omen,Thornmail,Spirit of the Ancient Golem,Ninja Tabi,Ruby Crystal,Sight Ward,Vladimir,Jayce,Shen,Graves,Nunu,Zed
7/19/2013,17:00,Scarra,Team Dignitas,Counter Logic Gaming,(32:16),1,Flash,Teleport,7,3,12,133,12.2k,Rod of Ages,Seraph's Embrace,Void Staff,Mercury's Treads - Distortion,Doran's Shield,Empty,Vladimir,Jayce,Shen,Graves,Nunu,Zed
7/19/2013,17:00,Imaqtpie,Team Dignitas,Counter Logic Gaming,(32:16),1,Flash,Barrier,3,3,12,199,12.2k,Infinity Edge,Phantom Dancer,Last Whisper,Berserker's Greaves,Doran's Blade,Empty,Vladimir,Jayce,Shen,Graves,Nunu,Zed
